number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
114,2026/4/9,220204.IB,220204,"20,290,301","530,000,000.00",1.5875,"1,057",2.8932
115,2026/4/10,220203.IB,220203,"20,270,224","2,050,000,000.00",1.4,320,0.8767
116,2026/4/9,220203.IB,220203,"20,270,224","2,820,000,000.00",1.39,321,0.8795
117,2026/4/10,2202001QF.IB,2202001QF,"20,270,121",0,1.3184,286,0.7836
118,2026/4/9,2202001QF.IB,2202001QF,"20,270,121",0,1.3223,287,0.7863
119,2026/4/10,2202001.IB,2202001,"20,270,121",0,1.884,286,0.7836
120,2026/4/9,2202001.IB,2202001,"20,270,121",0,1.8861,287,0.7863
121,2026/4/10,210221.IB,210221,"20,511,119",0,2.424,"9,354",25.611
122,2026/4/9,210221.IB,210221,"20,511,119",0,2.4241,"9,355",25.6137
123,2026/4/10,210220.IB,210220,"20,411,108","180,000,000.00",2.165,"5,691",15.5808
124,2026/4/9,210220.IB,210220,"20,411,108","240,000,000.00",2.18,"5,692",15.5836
125,2026/4/10,210215.IB,210215,"20,310,913","2,250,000,000.00",1.6975,"1,982",5.4274
126,2026/4/9,210215.IB,210215,"20,310,913","1,062,000,000.00",1.7,"1,983",5.4301
127,2026/4/10,210210.IB,210210,"20,310,607","3,200,000,000.00",1.6785,"1,884",5.1589
128,2026/4/9,210210.IB,210210,"20,310,607","4,820,000,000.00",1.6725,"1,885",5.1616
129,2026/4/10,210209.IB,210209,"20,280,809","100,000,000.00",1.555,852,2.3315
130,2026/4/9,210209.IB,210209,"20,280,809",0,1.5333,853,2.3342
131,2026/4/10,210208.IB,210208,"20,260,910","655,300,000.00",1.36,153,0.4192
132,2026/4/9,210208.IB,210208,"20,260,910","1,240,000,000.00",1.3699,154,0.4219
133,2026/4/10,210205.IB,210205,"20,310,301","4,760,000,000.00",1.6768,"1,786",4.8904
134,2026/4/9,210205.IB,210205,"20,310,301","800,000,000.00",1.6775,"1,787",4.8932
135,2026/4/10,210204.IB,210204,"20,280,108",0,1.5197,638,1.7479
136,2026/4/9,210204.IB,210204,"20,280,108",0,1.5225,639,1.7507
137,2026/4/10,200220.IB,200220,"20,400,803","20,000,000.00",2.0875,"5,229",14.3151
138,2026/4/9,200220.IB,200220,"20,400,803",0,2.09,"5,230",14.3178
139,2026/4/10,200215.IB,200215,"20,301,020","3,030,000,000.00",1.6675,"1,654",4.5288
140,2026/4/9,200215.IB,200215,"20,301,020","480,000,000.00",1.6625,"1,655",4.5315
141,2026/4/10,200210.IB,200210,"20,300,618","1,730,000,000.00",1.6575,"1,530",4.189
142,2026/4/9,200210.IB,200210,"20,300,618","1,760,000,000.00",1.6575,"1,531",4.1918
143,2026/4/10,200209.IB,200209,"20,270,710","280,000,000.00",1.485,456,1.2493
144,2026/4/9,200209.IB,200209,"20,270,710","130,000,000.00",1.485,457,1.2521
145,2026/4/10,200205.IB,200205,"20,300,310","1,960,000,000.00",1.6525,"1,430",3.9151
146,2026/4/9,200205.IB,200205,"20,300,310","950,000,000.00",1.6475,"1,431",3.9178
147,2026/4/10,200204.IB,200204,"20,270,114",0,1.3728,279,0.7644
148,2026/4/9,200204.IB,200204,"20,270,114","210,000,000.00",1.38,280,0.7671
149,2026/4/10,190215.IB,190215,"20,290,920","2,730,000,000.00",1.62,"1,259",3.4466
150,2026/4/9,190215.IB,190215,"20,290,920","880,000,000.00",1.6225,"1,260",3.4493
151,2026/4/10,190210.IB,190210,"20,290,521","5,380,000,000.00",1.5975,"1,137",3.1123
152,2026/4/9,190210.IB,190210,"20,290,521","1,705,900,000.00",1.5975,"1,138",3.1151
153,2026/4/10,190209.IB,190209,"20,260,813",0,1.2903,125,0.3425
154,2026/4/9,190209.IB,190209,"20,260,813",0,1.3071,126,0.3452
155,2026/4/10,190205.IB,190205,"20,290,108","2,790,000,000.00",1.565,"1,004",2.7479
156,2026/4/9,190205.IB,190205,"20,290,108","2,110,000,000.00",1.575,"1,005",2.7507
157,2026/4/10,180210.IB,180210,"20,280,706","470,000,000.00",1.55,818,2.2384
158,2026/4/9,180210.IB,180210,"20,280,706","560,000,000.00",1.54,819,2.2411
159,2026/4/10,180205.IB,180205,"20,280,209","810,000,000.00",1.52,670,1.8356
160,2026/4/9,180205.IB,180205,"20,280,209","1,320,000,000.00",1.52,671,1.8384
161,2026/4/10,1702303.IB,1702303,"20,370,303",--,--,"3,980",10.8959
162,2026/4/9,1702303.IB,1702303,"20,370,303",--,--,"3,981",10.8986
163,2026/4/10,1702302.IB,1702302,"20,270,303",--,--,327,0.8959
