number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond,
128,2026-04-13,267701.IB,267701,"20,260,706",0.0000,1.4031,84,0.2301,
129,2026-04-13,267702.IB,267702,"20,260,713",0.0000,1.4226,91,0.2493,
130,2026-04-13,267703.IB,267703,"20,260,720",0.0000,1.3759,98,0.2685,
131,2026-04-13,267704.IB,267704,"20,260,727",0.0000,1.4650,105,0.2877,
132,2026-04-13,267705.IB,267705,"20,260,803",0.0000,1.3991,112,0.3068,
133,2026-04-13,267706.IB,267706,"20,260,810",0.0000,1.3741,119,0.3260,
134,2026-04-13,267707.IB,267707,"20,260,903",0.0000,1.3855,143,0.3918,
135,2026-04-13,267708.IB,267708,"20,260,910",0.0000,1.3782,150,0.4110,
136,2026-04-13,267709.IB,267709,"20,260,917",0.0000,1.3939,157,0.4301,
137,2026-04-13,267710.IB,267710,"20,260,924",0.0000,1.4073,164,0.4493,
,,,,,,,,,
数据来源：同花顺iFinD,,,,,,,,,
