number,time,thscode,ths_bond_code_bond,ths_maturity_date_bond,ths_vol_yz_bond,ths_close_daily_settle_bond,ths_surplus_term_d_bond,ths_remain_duration_y_bond
102,2026/4/13,220006.IB,220006,"20,290,324","350,000,000.00",1.2825,"1,076",2.9452
103,2026/4/13,220007.IB,220007,"20,270,415","350,000,000.00",1.105,367,1.0055
104,2026/4/13,220008.IB,220008,"20,520,415","487,280,000.00",2.2925,"9,499",26.0055
105,2026/4/13,220010.IB,220010,"20,320,515","159,450,000.00",1.545,"2,224",6.0877
106,2026/4/13,220012.IB,220012,"20,290,615","161,000,000.00",1.31,"1,159",3.1726
107,2026/4/13,220015.IB,220015,"20,720,715","61,000,000.00",2.445,"16,895",46.2548
108,2026/4/13,220016.IB,220016,"20,270,725",0,1.1416,468,1.2822
109,2026/4/13,220017.IB,220017,"20,320,815","220,000,000.00",1.5925,"2,316",6.3397
110,2026/4/13,220019.IB,220019,"20,320,901","457,010,000.00",1.595,"2,333",6.3863
111,2026/4/13,220021.IB,220021,"20,290,925","290,000,000.00",1.355,"1,261",3.4521
112,2026/4/13,220022.IB,220022,"20,271,015","272,250,000.00",1.21,550,1.5068
113,2026/4/13,220024.IB,220024,"20,521,025","1,221,750,000.00",2.33,"9,692",26.5342
114,2026/4/13,220025.IB,220025,"20,321,115","440,180,000.00",1.5769,"2,408",6.5918
115,2026/4/13,220027.IB,220027,"20,291,215","90,000,000.00",1.3484,"1,342",3.674
116,2026/4/13,230002.IB,230002,"20,280,115","141,750,000.00",1.195,642,1.7589
117,2026/4/13,230004.IB,230004,"20,330,225","162,550,000.00",1.575,"2,510",6.8712
118,2026/4/13,230006.IB,230006,"20,300,325","670,000,000.00",1.35,"1,442",3.9479
119,2026/4/13,230007.IB,230007,"20,730,325",0,2.4499,"17,148",46.9479
120,2026/4/13,230008.IB,230008,"20,280,415","326,000,000.00",1.212,733,2.0055
121,2026/4/13,230009.IB,230009,"20,530,415","887,590,000.00",2.295,"9,864",27.0055
122,2026/4/13,230012.IB,230012,"20,330,525","747,230,000.00",1.62,"2,599",7.1151
123,2026/4/13,230014.IB,230014,"20,300,625","204,760,000.00",1.44,"1,534",4.2
124,2026/4/13,230015.IB,230015,"20,280,715","152,500,000.00",1.2575,824,2.2548
125,2026/4/13,230017.IB,230017,"20,260,815","20,000,000.00",1.019,124,0.3397
126,2026/4/13,230018.IB,230018,"20,330,825","572,240,000.00",1.65,"2,691",7.3671
127,2026/4/13,230019.IB,230019,"20,300,915","355,950,000.00",1.465,"1,616",4.4247
128,2026/4/13,230021.IB,230021,"20,280,925","210,000,000.00",1.2817,896,2.4521
129,2026/4/13,230022.IB,230022,"20,281,015","1,842,750,000.00",1.28,916,2.5068
130,2026/4/13,230023.IB,230023,"20,531,015","16,861,250,000.00",2.2789,"10,047",27.5068
131,2026/4/13,230025.IB,230025,"20,261,115","3,000,000,000.00",1.0375,216,0.5918
132,2026/4/13,230026.IB,230026,"20,331,125","450,250,000.00",1.65,"2,783",7.6192
133,2026/4/13,230028.IB,230028,"20,301,225","202,500,000.00",1.4975,"1,717",4.7014
134,2026/4/13,2400001.IB,2400001,"20,540,520","4,022,400,000.00",2.3133,"10,264",28.1014
135,2026/4/13,2400002.IB,2400002,"20,440,525","1,656,300,000.00",2.2,"6,617",18.1151
136,2026/4/13,2400003.IB,2400003,"20,740,615",0,2.46,"17,595",48.1726
137,2026/4/13,2400004.IB,2400004,"20,540,725","1,390,000,000.00",2.315,"10,330",28.2822
138,2026/4/13,2400005.IB,2400005,"20,440,815","310,000,000.00",2.23,"6,699",18.3397
139,2026/4/13,2400006.IB,2400006,"20,540,925","2,561,580,000.00",2.3,"10,392",28.4521
140,2026/4/13,240001.IB,240001,"20,290,115","3,093,350,000.00",1.28,"1,008",2.7589
141,2026/4/13,240003.IB,240003,"20,270,225",0,1.1366,318,0.8712
142,2026/4/13,240004.IB,240004,"20,340,225","513,800,000.00",1.685,"2,875",7.8712
143,2026/4/13,240006.IB,240006,"20,310,325","456,630,000.00",1.5125,"1,807",4.9479
144,2026/4/13,240007.IB,240007,"20,740,325","380,000,000.00",2.4075,"17,513",47.9479
145,2026/4/13,240008.IB,240008,"20,290,415","133,000,000.00",1.335,"1,098",3.0055
146,2026/4/13,240010.IB,240010,"20,270,515","10,000,000.00",1.245,397,1.0877
147,2026/4/13,2400101.IB,2400101,"20,340,829",0,1.7395,"3,060",8.3781
148,2026/4/13,2400102.IB,2400102,"20,390,829",0,2.01,"4,886",13.3781
149,2026/4/13,240011.IB,240011,"20,340,525","263,400,000.00",1.705,"2,964",8.1151
150,2026/4/13,240013.IB,240013,"20,310,625","320,610,000.00",1.52,"1,899",5.2
151,2026/4/13,240014.IB,240014,"20,290,715","282,750,000.00",1.375,"1,189",3.2548
152,2026/4/13,240016.IB,240016,"20,270,815","813,000,000.00",1.25,489,1.3397
153,2026/4/13,240017.IB,240017,"20,340,825","283,000,000.00",1.7247,"3,056",8.3671
154,2026/4/13,240018.IB,240018,"20,310,915","1,085,000,000.00",1.55,"1,981",5.4247
155,2026/4/13,240019.IB,240019,"20,260,925",0,1.1247,165,0.4521
156,2026/4/13,240020.IB,240020,"20,291,015","32,000,000.00",1.4025,"1,281",3.5068
157,2026/4/13,240022.IB,240022,"20,271,115","223,500,000.00",1.245,581,1.5918
158,2026/4/13,240023.IB,240023,"20,341,125","123,390,000.00",1.735,"3,148",8.6192
159,2026/4/13,240024.IB,240024,"20,261,215","260,000,000.00",1.19,246,0.674
160,2026/4/13,240025.IB,240025,"20,311,225","152,250,000.00",1.585,"2,082",5.7014
161,2026/4/13,2500001.IB,2500001,"20,450,425","861,070,000.00",2.235,"6,952",19.0329
162,2026/4/13,2500002.IB,2500002,"20,550,425","41,308,200,000.00",2.238,"10,604",29.0329
163,2026/4/13,2500003.IB,2500003,"20,750,525","1,790,000,000.00",2.382,"17,939",49.1151
164,2026/4/13,2500004.IB,2500004,"20,450,715","2,960,000,000.00",2.241,"7,033",19.2548
165,2026/4/13,2500005.IB,2500005,"20,550,715","2,970,000,000.00",2.2925,"10,685",29.2548
166,2026/4/13,2500006.IB,2500006,"20,550,825","42,712,530,000.00",2.278,"10,726",29.3671
167,2026/4/13,250002.IB,250002,"20,550,115","1,014,580,000.00",2.2925,"10,504",28.7589
168,2026/4/13,250003.IB,250003,"20,300,125","3,714,250,000.00",1.445,"1,383",3.7863
169,2026/4/13,250004.IB,250004,"20,350,215","1,796,170,000.00",1.7475,"3,230",8.8438
170,2026/4/13,250005.IB,250005,"20,280,225","477,730,000.00",1.255,683,1.8712
171,2026/4/13,250006.IB,250006,"20,270,315","630,000,000.00",1.18,336,0.9205
172,2026/4/13,250007.IB,250007,"20,320,325","2,425,800,000.00",1.585,"2,173",5.9479
173,2026/4/13,250009.IB,250009,"20,350,515","8,900,000.00",1.762,"3,319",9.0877
174,2026/4/13,250010.IB,250010,"20,280,525","32,470,000.00",1.2875,773,2.1151
175,2026/4/13,2500101.IB,2500101,"20,351,212",0,1.5963,"3,530",9.6658
176,2026/4/13,2500102.IB,2500102,"20,401,212",0,2.1199,"5,357",14.6658
177,2026/4/13,250011.IB,250011,"20,350,525","2,425,210,000.00",1.7465,"3,329",9.1151
178,2026/4/13,250012.IB,250012,"20,270,615","400,000,000.00",1.25,428,1.1726
179,2026/4/13,250013.IB,250013,"20,260,725","7,050,000,000.00",1.1648,103,0.2822
180,2026/4/13,250014.IB,250014,"20,300,725","1,606,640,000.00",1.493,"1,564",4.2822
181,2026/4/13,250015.IB,250015,"20,280,815","514,870,000.00",1.35,855,2.3397
182,2026/4/13,250016.IB,250016,"20,350,825","10,329,250,000.00",1.809,"3,421",9.3671
183,2026/4/13,250017.IB,250017,"20,270,915","557,600,000.00",1.2925,520,1.4247
184,2026/4/13,250018.IB,250018,"20,320,915","2,980,820,000.00",1.635,"2,347",6.4247
185,2026/4/13,250019.IB,250019,"20,261,015","41,000,000.00",1.17,185,0.5068
186,2026/4/13,250020.IB,250020,"20,301,025","1,524,950,000.00",1.5263,"1,656",4.5342
187,2026/4/13,250021.IB,250021,"20,751,106","2,842,100,000.00",2.4514,"18,104",49.5671
188,2026/4/13,250022.IB,250022,"20,351,115","12,741,250,000.00",1.8065,"3,503",9.5918
189,2026/4/13,250023.IB,250023,"20,281,125","1,063,250,000.00",1.3425,957,2.6192
190,2026/4/13,250024.IB,250024,"20,271,215","2,063,250,000.00",1.3075,611,1.674
191,2026/4/13,250025.IB,250025,"20,321,225","7,545,460,000.00",1.664,"2,448",6.7014
192,2026/4/13,2500801.IB,2500801,"20,300,425",0,1.4852,"1,473",4.0329
193,2026/4/13,2500802.IB,2500802,"20,320,515",0,1.6211,"2,224",6.0877
194,2026/4/13,259981.IB,259981,"20,260,625","20,000,000.00",1.0698,73,0.2
195,2026/4/13,2600001.IB,2600001,"20,460,425",--,--,"7,305",20
196,2026/4/13,2600002.IB,2600002,"20,560,425",--,--,"10,958",30
197,2026/4/13,2600003.IB,2600003,"20,760,507",--,--,"18,263",50
198,2026/4/13,260001.IB,260001,"20,270,115","1,170,000,000.00",1.1725,277,0.7589
199,2026/4/13,260002.IB,260002,"20,560,115","75,882,750,000.00",2.29,"10,869",29.7589
200,2026/4/13,260003.IB,260003,"20,310,125","6,065,950,000.00",1.535,"1,748",4.7863
201,2026/4/13,260004.IB,260004,"20,290,225","72,802,750,000.00",1.3525,"1,049",2.8712
202,2026/4/13,260005.IB,260005,"20,360,225","32,599,760,000.00",1.788,"3,605",9.8712
203,2026/4/13,260006.IB,260006,"20,280,315","5,363,920,000.00",1.32,702,1.9205
204,2026/4/13,260007.IB,260007,"20,330,325","11,493,100,000.00",1.6825,"2,538",6.9479
205,2026/4/13,260008.IB,260008,"20,310,415",--,--,"1,826",5
206,2026/4/13,260009.IB,260009,"20,270,425",--,--,365,1
207,2026/4/13,260010.IB,260010,"20,360,515",--,--,"3,653",10
208,2026/4/13,260011.IB,260011,"20,290,525",--,--,"1,096",3
209,2026/4/13,260012.IB,260012,"20,330,615",--,--,"2,557",7
210,2026/4/13,269901.IB,269901,"20,260,708",0,1.1827,86,0.2356
211,2026/4/13,269907.IB,269907,"20,260,805","730,000,000.00",1.1799,114,0.3123
212,2026/4/13,269913.IB,269913,"20,260,903","110,000,000.00",1.1501,143,0.3918
213,2026/4/13,269918.IB,269918,"20,260,618",0,1.1745,66,0.1808
214,2026/4/13,269919.IB,269919,"20,260,624",0,1.1856,72,0.1973
215,2026/4/13,269920.IB,269920,"20,260,702","6,960,000,000.00",1.1702,80,0.2192
216,2026/4/13,269921.IB,269921,"20,260,709","32,770,000,000.00",1.1699,87,0.2384
217,2026/4/13,269922.IB,269922,"20,260,617",--,--,63,0.1726
218,2026/4/13,269924.IB,269924,"20,260,716",--,--,91,0.2493
219,2026/4/13,269925.IB,269925,"20,261,022",--,--,182,0.4986
220,2026/4/13,269926.IB,269926,"20,260,723",--,--,91,0.2493
221,2026/4/13,269928.IB,269928,"20,260,806",--,--,91,0.2493
222,2026/4/13,269929.IB,269929,"20,260,813",--,--,91,0.2493
